Designator,Mid X,Mid Y,Rotation,Layer
C1,66.0,-54.09375,180.0,top
C2,110.53125,-48.28125,180.0,top
C3,143.0625,-37.6875,270.0,top
C4,66.0,-56.53125,180.0,top
D1,97.875,-27.09375,180.0,top
J1,155.4375,-43.21875,90.0,top
J2,88.57,-27.09375,270.0,top
J3,74.95,-55.78125,270.0,top
J4,77.2,-27.09375,270.0,top
J5,68.39125,-27.09375,90.0,top
R1,105.9375,-32.71875,270.0,top
R2,103.40625,-32.71875,270.0,top
R3,82.96875,-56.53125,0.0,top
R4,103.40625,-27.09375,0.0,top
R7,148.5,-37.78125,90.0,top
R8,148.59375,-46.96875,270.0,top
SW1,130.625,-48.375,180.0,top
SW2,130.5625,-35.34375,0.0,top
U1,113.46875,-41.65625,0.0,top
U3,138.0125,-39.55,0.0,top
U4,138.0125,-35.89375,0.0,top
U5,72.75,-42.65625,90.0,top
